words,links,capital_words,spam_word_count,is_spam
183,2,0,5,0
106,10,11,10,1
272,1,0,0,0
788,7,25,10,1
34,2,6,2,0
714,3,28,6,1
446,6,7,9,1
237,2,2,1,0
258,2,1,4,1
38,1,3,2,0
128,2,1,3,1
101,0,1,6,0
510,2,30,7,1
103,1,3,2,0
606,10,17,7,1
139,1,0,1,0
735,7,16,2,1
210,3,5,0,0
244,2,0,1,0
58,0,2,2,0
30,0,1,1,0
115,0,3,0,0
33,1,1,1,0
429,2,2,1,0
133,2,1,0,0
167,9,9,4,1
869,2,18,1,1
227,1,0,4,0
20,2,3,0,0
435,0,1,2,0
694,5,11,1,1
211,1,2,1,0
237,1,4,3,1
601,8,5,9,1
116,1,3,0,0
316,8,22,4,1
978,6,3,3,1
70,7,1,8,1
997,4,30,3,1
221,1,0,0,0
259,0,0,1,0
380,1,0,1,0
135,3,17,9,1
60,3,25,9,1
134,9,11,1,1
134,4,15,7,1
48,0,1,5,0
78,5,3,2,0
188,2,1,2,0
123,1,3,1,0
127,0,3,6,0
165,1,3,2,0
849,2,8,1,1
602,2,7,5,1
770,0,15,7,1
499,4,0,1,1
184,10,24,9,1
836,1,24,8,1
153,1,8,2,0
212,0,4,0,0
78,1,1,2,0
245,2,1,2,0
154,2,23,9,1
381,5,3,2,0
930,0,5,7,1
61,4,17,3,1
926,0,20,8,1
868,7,3,9,1
211,1,0,2,0
991,5,26,3,1
48,5,9,1,0
256,2,3,2,0
284,0,3,6,0
83,5,1,2,0
364,10,11,1,1
483,6,21,10,1
239,0,1,2,0
341,3,11,8,1
212,5,2,0,0
243,0,3,2,0
110,1,18,9,1
731,10,0,8,1
105,1,2,0,0
751,5,17,8,1
285,2,6,2,0
81,10,24,4,1
158,6,20,10,1
466,0,28,9,1
174,2,2,2,0
164,9,25,6,1
100,3,11,8,1
231,4,6,10,1
216,0,2,2,0
80,2,0,2,0
260,2,2,0,0
109,3,2,0,1
402,3,4,10,1
237,3,1,0,0
614,0,0,3,1
180,0,25,10,1
58,2,1,0,0
255,2,0,0,0
22,1,3,4,0
761,3,8,4,1
652,10,12,6,1
830,8,5,10,1
774,2,14,7,1
105,1,2,2,0
65,2,8,0,0
253,2,3,2,0
709,4,0,3,1
197,0,3,0,0
573,10,30,3,1
128,2,8,3,1
89,1,2,1,0
223,0,0,0,0
47,2,0,2,0
354,2,2,1,0
282,1,0,0,0
87,1,28,7,1
253,0,0,2,0
119,0,3,1,0
250,9,4,2,1
858,10,30,6,1
195,5,1,1,0
111,0,1,6,0
253,3,18,7,1
334,3,27,6,1
453,1,0,1,0
510,2,27,3,1
47,2,0,2,0
198,1,7,3,0
211,1,2,4,0
601,7,3,5,1
293,2,0,1,0
120,5,2,1,0
944,7,0,4,1
206,4,20,6,1
52,10,2,2,1
243,2,2,4,0
681,4,18,10,1
126,1,3,0,0
343,5,5,0,0
161,5,5,0,0
217,2,1,2,0
748,10,17,1,1
178,0,9,3,0
186,0,2,1,0
946,7,16,10,1
287,5,14,10,1
271,4,1,0,0
493,4,30,2,1
134,9,2,8,1
148,3,5,1,0
199,2,0,4,1
173,0,9,0,0
182,1,0,0,0
496,4,4,0,1
23,0,1,5,0
161,4,4,1,1
717,8,22,7,1
67,8,23,7,1
137,3,3,2,0
292,1,3,1,0
292,2,0,1,0
585,9,9,0,1
341,4,27,3,1
184,2,0,0,0
881,2,15,6,1
816,9,12,5,1
997,2,17,4,1
899,2,21,7,1
245,4,8,1,0
888,2,10,0,1
73,1,3,1,0
292,0,4,0,0
727,2,1,10,1
238,2,2,5,0
120,1,3,0,0
172,2,0,1,0
173,2,18,6,1
332,10,13,1,1
376,2,26,7,1
821,8,7,7,1
560,9,11,0,1
395,1,3,4,0
127,9,17,8,1
172,0,1,2,0
275,2,0,0,0
161,8,26,9,1
251,1,1,0,0
168,5,5,3,1
87,3,0,2,0
249,7,6,3,1
168,2,1,4,0
128,1,24,1,1
979,2,19,6,1
86,0,0,1,0
196,7,19,1,1
160,3,2,9,1
173,10,22,8,1
242,0,0,2,0
472,9,20,1,1
333,10,13,6,1
133,0,1,0,0
274,2,0,1,0
82,3,17,6,1
290,4,0,0,0
81,10,22,8,1
196,0,1,2,0
551,0,21,8,1
278,2,0,0,0
268,5,5,6,1
187,5,23,10,1
282,4,26,6,1
232,0,0,1,0
690,2,11,8,1
294,2,3,5,0
649,1,19,10,1
32,0,3,1,0
426,0,2,1,0
463,8,7,8,1
130,8,18,8,1
222,4,3,2,0
640,9,15,8,1
999,6,11,6,1
259,1,3,0,0
220,1,0,0,0
640,4,2,0,1
286,2,1,2,0
29,1,2,1,0
207,0,4,0,0
454,4,15,2,1
961,2,23,6,1
904,3,5,2,1
178,2,0,2,0
100,7,21,6,1
953,8,9,4,1
152,5,23,6,1
217,5,0,1,0
875,2,21,7,1
271,4,4,2,0
218,6,18,9,1
298,2,6,1,0
129,1,1,2,0
300,0,1,1,0
638,5,29,8,1
62,0,1,1,0
202,1,1,1,0
71,2,8,2,0
85,1,3,3,0
260,0,0,0,0
113,2,9,2,0
162,2,3,5,0
148,2,0,2,0
496,2,3,0,0
62,1,1,0,0
150,0,1,1,0
775,5,12,2,1
99,2,21,7,1
119,1,11,5,1
317,5,8,4,1
368,1,4,1,0
337,0,9,0,0
160,1,3,0,0
298,3,22,8,1
724,5,3,5,1
56,2,0,0,0
532,4,26,3,1
82,10,8,0,1
127,2,0,4,0
202,2,3,0,0
157,2,2,8,1
409,2,15,3,1
178,0,9,6,0
467,8,1,8,1
781,8,22,2,1
270,0,1,1,0
696,7,30,3,1
228,1,1,5,0
835,5,18,10,1
366,0,5,0,0
959,9,28,10,1
60,4,0,0,0
109,2,17,6,1
190,10,1,4,1
173,1,2,1,0
84,4,2,2,0
101,4,0,5,1
421,10,9,3,1
811,8,27,10,1
94,3,2,2,0
293,2,6,0,0
167,3,29,3,1
188,2,1,1,0
56,2,3,0,0
657,1,17,3,1
199,0,2,4,0
71,6,14,5,1
288,1,2,4,0
269,1,3,3,0
351,2,23,0,1
135,2,2,1,0
350,7,22,7,1
158,2,21,1,1
277,9,24,8,1
39,1,2,0,0
511,3,15,10,1
456,7,24,9,1
686,8,14,10,1
200,1,18,6,1
245,0,1,2,0
353,2,4,2,0
532,7,25,4,1
951,3,16,1,1
580,9,26,4,1
132,1,0,0,0
129,1,3,4,0
89,2,3,1,0
176,0,2,0,0
170,10,2,6,1
142,2,1,0,0
799,9,1,8,1
117,1,3,2,0
777,2,5,4,1
169,8,25,9,1
141,0,12,4,1
872,7,11,7,1
924,8,15,10,1
72,2,19,4,1
257,2,0,1,0
137,2,2,0,0
129,2,21,7,1
300,9,4,6,1
167,0,8,1,0
958,7,26,7,1
140,0,3,2,0
131,5,26,3,1
186,2,5,6,1
170,2,2,2,0
168,1,0,1,0
63,2,3,2,0
167,0,2,1,0
744,10,3,7,1
269,2,3,2,0
168,3,18,7,1
282,0,5,6,0
97,8,9,4,1
220,2,2,1,0
259,3,3,3,0
149,1,3,2,0
679,10,7,6,1
937,4,8,4,1
176,1,6,2,0
60,1,3,0,0
118,1,1,2,0
856,6,4,4,1
328,2,23,3,1
935,8,12,5,1
879,5,7,8,1
314,8,28,2,1
210,10,21,4,1
849,1,10,0,1
238,0,10,0,0
56,0,3,2,0
210,5,2,1,0
316,8,11,8,1
42,2,3,1,0
21,2,3,0,0
170,5,1,0,0
384,2,1,0,0
34,0,0,2,0
200,3,2,0,0
225,2,1,2,0
206,3,1,1,0
142,9,8,8,1
301,9,6,7,1
474,2,3,0,0
139,2,10,0,0
375,5,24,1,1
218,1,2,2,0
67,0,6,5,0
342,10,8,4,1
37,0,1,2,0
244,9,4,10,1
813,9,11,0,1
29,4,3,5,0
390,7,26,5,1
432,9,29,10,1
269,0,1,0,0
212,10,6,3,1
46,0,3,2,0
255,2,26,1,1
951,9,2,4,1
114,0,8,1,0
197,9,6,3,1
827,1,26,10,1
37,1,3,2,0
212,2,0,0,0
665,7,29,10,1
275,0,8,4,0
528,2,12,0,1
919,0,16,8,1
174,5,6,2,0
173,5,1,2,0
867,2,1,8,1
909,4,25,4,1
161,1,3,1,0
90,4,27,10,1
456,5,13,2,1
172,0,0,6,0
45,1,1,1,0
665,6,23,2,1
74,0,1,1,0
146,2,10,2,0
120,0,2,0,0
444,7,15,7,1
130,1,3,2,0
188,1,7,0,0
345,2,8,6,1
152,3,20,2,1
441,7,27,1,1
159,2,9,2,0
21,0,6,1,0
274,4,3,4,0
39,1,0,0,0
678,9,16,3,1
927,8,9,9,1
30,0,0,2,0
244,2,1,7,1
465,2,3,2,0
452,3,2,0,1
190,1,1,1,0
130,0,0,0,0
343,0,2,1,0
765,4,6,10,1
232,2,30,6,1
600,5,24,8,1
127,3,24,5,1
33,2,0,5,0
130,2,0,0,0
57,1,2,0,0
206,0,0,0,0
735,5,20,5,1
196,1,2,6,0
136,4,1,2,0
52,0,2,2,0
855,2,15,3,1
93,9,22,1,1
159,2,6,8,1
279,2,2,5,0
331,2,2,4,0
338,8,7,8,1
255,8,21,9,1
165,0,10,1,0
622,9,22,7,1
635,2,9,6,1
54,4,3,1,0
114,0,2,0,0
792,6,28,7,1
266,2,5,4,0
208,2,8,1,0
282,2,1,0,0
804,10,15,3,1
160,5,16,5,1
701,4,7,7,1
297,4,21,7,1
720,0,30,3,1
78,2,0,1,0
118,2,6,8,1
973,9,27,9,1
333,2,0,2,0
235,0,0,1,0
37,2,2,0,0
337,1,4,3,1
129,2,0,1,0
184,0,4,0,0
69,7,27,6,1
101,8,29,7,1
624,9,11,9,1
194,2,2,4,0
280,0,2,6,0
48,1,0,0,0
90,2,8,1,0
107,2,0,2,0
68,0,0,2,0
306,5,8,0,0
46,2,0,0,0
392,6,28,9,1
528,7,5,8,1
176,8,24,1,1
174,0,24,4,1
357,9,16,1,1
460,3,15,4,1
182,2,26,10,1
182,2,15,8,1
444,8,0,6,1
180,5,7,10,1
149,1,8,10,1
629,7,29,10,1
311,9,29,3,1
344,8,14,4,1
53,0,1,1,0
183,6,22,6,1
188,1,3,0,0
100,2,2,1,0
865,2,27,7,1
62,10,1,9,1
347,9,8,0,1
116,5,24,10,1
129,9,5,3,1
238,3,11,9,1
816,2,1,2,1
179,4,1,2,0
345,0,1,1,0
254,8,5,5,1
962,10,24,3,1
298,0,2,0,0
233,0,0,1,0
710,9,14,0,1
188,2,17,9,1
197,5,0,5,0
958,8,11,2,1
710,2,6,7,1
902,7,9,1,1
327,2,0,10,1
161,0,2,0,0
94,9,7,1,1
130,2,3,0,0
98,2,0,2,0
933,8,0,3,1
197,7,0,10,1
172,2,11,10,1
858,6,1,4,1
194,2,3,3,0
360,3,0,1,0
202,2,0,0,0
435,9,6,5,1
51,1,2,0,0
25,5,2,1,0
196,0,1,0,0
154,9,25,10,1
164,2,26,10,1
110,5,0,1,0
102,2,5,10,1
352,4,15,4,1
284,1,1,0,0
206,1,1,0,0
214,2,0,0,0
416,3,5,8,1
228,1,0,0,0
128,1,3,0,0
104,2,3,0,0
221,1,2,0,0
126,3,21,9,1
166,9,29,7,1
559,5,28,9,1
434,8,20,9,1
696,4,3,3,1
301,1,9,2,0
335,8,20,1,1
277,1,1,0,0
275,1,0,0,0
503,5,20,6,1
247,1,3,0,0
118,1,7,0,0
223,1,3,1,0
212,2,0,6,0
115,8,15,9,1
250,2,3,6,0
38,2,6,1,0
92,6,11,10,1
388,5,17,5,1
203,2,24,2,1
326,1,0,1,0
637,4,7,9,1
263,2,1,1,0
181,0,2,2,0
76,3,19,7,1
190,2,0,1,0
937,8,7,8,1
70,2,7,2,0
27,0,2,0,0
179,0,1,2,0
212,9,26,7,1
102,4,27,10,1
359,0,1,6,1
468,0,0,0,0
474,6,7,7,1
211,5,3,1,0
20,1,2,2,0
293,10,19,2,1
76,3,5,9,1
119,2,9,6,1
209,0,2,1,0
284,1,3,2,0
136,4,16,10,1
638,9,1,6,1
839,6,0,8,1
246,5,9,3,1
284,2,3,1,0
144,2,3,1,0
232,1,0,1,0
107,3,29,10,1
56,9,11,8,1
214,0,1,2,0
99,1,0,2,0
464,2,3,1,1
866,3,15,3,1
40,1,10,3,0
184,2,10,2,0
216,0,6,6,0
152,2,1,6,0
363,1,2,0,0
240,0,0,2,0
92,0,3,0,0
637,2,27,6,1
158,1,2,2,0
394,8,1,3,1
25,2,3,1,0
322,0,2,4,0
189,4,2,0,0
88,4,2,2,0
209,3,0,6,0
388,3,21,9,1
953,8,14,3,1
134,2,22,9,1
76,5,0,2,0
195,5,23,2,1
236,0,2,0,0
276,8,14,6,1
589,10,8,8,1
560,3,22,9,1
174,1,2,3,0
314,9,7,4,1
484,2,1,3,0
155,2,8,1,0
132,1,2,1,0
469,7,2,10,1
191,1,1,2,0
429,1,3,4,0
26,3,2,5,0
75,0,0,2,0
162,2,1,1,0
210,0,0,4,0
259,3,3,2,0
208,0,3,3,0
147,0,2,0,0
340,2,9,8,1
555,2,17,3,1
221,1,5,2,0
269,3,0,2,0
120,2,21,3,1
743,3,4,1,1
704,5,30,2,1
297,2,0,1,0
359,0,2,2,0
120,3,20,4,1
77,5,27,6,1
771,0,12,8,1
212,3,19,7,1
254,0,1,1,0
838,2,2,3,1
340,0,2,2,0
981,3,13,7,1
199,5,17,2,1
403,3,4,4,1
153,3,30,3,1
792,2,18,3,1
164,10,16,8,1
83,2,16,3,1
208,1,5,2,0
523,2,12,4,1
683,5,0,2,1
134,0,2,5,0
182,1,0,1,0
163,1,1,3,0
185,0,2,2,0
520,3,24,0,1
71,5,2,1,0
640,5,4,5,1
396,5,7,9,1
169,0,4,1,0
103,10,5,7,1
383,0,3,1,0
567,3,1,9,1
727,8,11,8,1
404,1,2,6,0
190,2,27,9,1
143,0,5,8,1
247,1,2,2,0
393,5,1,1,0
299,5,27,10,1
151,2,2,4,0
182,0,1,1,0
21,0,1,1,0
965,3,14,8,1
229,3,24,6,1
176,4,5,5,1
236,8,19,7,1
82,6,22,1,1
351,4,27,2,1
267,1,4,1,0
292,7,3,10,1
104,3,3,8,1
41,1,3,3,0
686,6,20,7,1
524,2,11,4,1
318,4,25,6,1
132,0,0,1,0
84,2,0,3,1
229,0,4,1,0
574,10,21,7,1
958,2,2,4,1
451,2,18,7,1
124,2,0,2,0
119,4,4,3,1
904,3,23,7,1
641,10,14,3,1
789,0,14,0,1
305,8,12,4,1
448,2,10,4,0
488,8,20,1,1
146,4,0,6,0
174,1,28,6,1
211,1,0,0,0
63,2,5,2,0
405,5,4,9,1
93,4,0,6,0
933,2,7,3,1
248,4,10,1,0
244,2,1,1,0
188,1,1,1,0
81,5,23,3,1
560,1,3,8,1
621,10,28,2,1
961,9,30,6,1
300,2,1,4,0
65,1,2,1,0
405,9,1,4,1
205,0,0,1,0
55,2,1,0,0
406,6,13,1,1
706,1,6,4,1
829,1,6,6,1
125,5,28,5,1
107,2,3,2,0
115,10,29,8,1
145,0,16,3,1
346,1,4,5,0
180,10,23,6,1
48,3,2,0,0
349,7,4,1,1
23,0,1,1,0
156,1,0,1,0
770,9,0,7,1
350,8,29,6,1
179,2,10,0,0
241,2,10,2,0
181,8,6,6,1
440,3,25,0,1
40,2,8,1,0
107,2,2,1,0
750,6,21,2,1
197,6,14,4,1
76,4,8,8,1
749,8,26,9,1
211,0,18,0,1
303,8,23,8,1
714,4,20,9,1
88,2,27,7,1
383,8,0,0,1
62,0,3,2,0
853,10,18,3,1
374,3,17,3,1
59,5,3,1,0
51,2,1,0,0
868,7,5,7,1
82,2,2,1,0
273,1,1,2,0
990,4,2,3,1
89,2,2,2,0
179,5,7,8,1
62,0,3,3,0
796,3,25,2,1
107,6,24,0,1
183,1,23,3,1
158,2,2,1,0
450,1,7,0,0
156,2,11,10,1
100,2,10,2,1
352,0,1,2,0
157,2,13,5,1
65,2,2,2,0
718,6,8,4,1
289,1,2,0,0
115,4,10,0,0
333,10,7,10,1
159,0,23,0,1
944,2,7,10,1
193,2,1,1,1
199,2,8,2,0
164,2,0,0,0
103,4,3,7,1
143,2,1,1,0
257,1,1,2,0
108,0,0,9,1
318,9,12,0,1
187,0,8,2,0
161,9,17,9,1
64,9,21,5,1
312,3,3,2,0
213,0,0,4,0
882,9,23,2,1
65,0,4,2,0
75,0,2,10,1
130,3,13,5,1
178,2,18,5,1
134,2,3,2,0
294,2,1,0,0
420,3,20,1,1
141,1,1,1,0
26,2,1,2,0
210,2,6,3,1
35,2,2,5,0
198,1,3,0,0
382,4,1,6,0
871,3,10,8,1
97,2,3,0,0
131,1,2,4,0
879,0,12,1,1
151,9,23,6,1
27,0,1,2,0
22,0,3,3,0
124,0,28,7,1
56,0,2,1,0
163,3,1,4,0
609,8,20,8,1
639,3,17,3,1
53,0,2,4,0
141,2,2,1,0
277,1,5,2,0
988,3,14,4,1
127,0,2,2,0
549,3,22,5,1
288,5,3,0,0
254,0,1,2,0
270,2,1,1,0
753,8,11,8,1
63,2,17,0,1
483,0,15,7,1
277,1,6,4,1
85,8,4,9,1
129,10,1,5,1
274,2,2,2,0
721,3,27,3,1
178,1,1,1,0
66,3,18,8,1
25,1,2,1,0
869,5,24,3,1
336,4,2,0,0
647,7,22,9,1
659,2,27,3,1
66,3,26,9,1
159,2,3,0,0
27,1,6,2,0
551,3,29,6,1
188,0,0,2,0
133,1,5,0,0
113,0,2,4,0
375,3,23,9,1
253,2,1,1,0
687,2,23,3,1
123,9,2,3,1
825,3,22,10,1
160,1,2,2,0
283,3,3,0,0
278,10,11,6,1
162,1,1,3,0
638,10,20,2,1
508,10,25,5,1
190,6,13,6,1
714,9,30,7,1
990,3,6,5,1
428,9,5,2,1
80,3,13,6,1
137,2,16,8,1
283,0,2,2,0
182,1,1,1,0
429,9,27,9,1
33,0,1,1,0
184,9,28,7,1
274,0,0,1,0
32,2,1,4,0
51,2,24,3,1
123,3,5,4,1
79,1,3,3,0
364,6,20,3,1
476,2,3,3,0
244,2,0,0,0
54,2,1,1,0
383,10,10,1,1
270,2,3,0,0
993,5,18,5,1
573,2,27,5,1
769,3,2,6,1
208,2,0,2,0
875,8,9,0,1
402,2,3,2,0
283,4,26,6,1
177,10,6,3,1
164,2,0,8,1
479,2,2,5,0
170,2,9,2,0
244,0,1,1,0
120,0,17,6,1
142,0,0,2,0
143,9,27,4,1
254,4,18,9,1
778,3,10,3,1
131,2,6,6,1
393,0,2,5,0
226,1,6,2,0
155,1,1,6,0
446,1,0,2,0
199,2,2,0,0
121,7,5,8,1
73,5,0,3,1
333,1,5,10,1
46,1,5,1,0
174,0,3,6,0
292,1,3,1,0
935,9,8,3,1
276,5,27,2,1
414,5,2,7,1
734,8,22,3,1
190,9,18,8,1
161,5,8,6,1
251,3,27,6,1
858,7,20,1,1
333,2,2,4,0
982,6,8,8,1
289,2,3,0,0
44,0,0,6,0
912,2,3,5,1
213,7,7,2,1
166,4,1,2,0
151,4,10,1,0
273,0,1,2,0
680,4,8,0,1
126,2,1,2,0
238,1,0,0,0
849,7,0,4,1
200,0,0,2,0
501,7,7,5,1
229,1,3,2,0
118,2,3,0,0
160,1,1,2,0
495,1,1,3,0
447,10,5,4,1
151,3,26,10,1
243,2,0,0,0
200,2,1,2,0
255,1,2,0,0
354,5,6,4,1
198,3,19,4,1
292,2,3,0,0
214,0,3,1,0
143,4,0,8,1
267,0,3,6,0
246,2,2,0,0
33,1,6,1,0
81,0,0,1,0
366,2,3,0,0
127,2,26,7,1
248,0,5,4,0
155,0,7,0,0
868,10,16,5,1
201,2,16,8,1
261,2,0,2,0
638,7,25,9,1
131,5,10,2,1
219,1,8,0,0
84,3,7,2,0
167,2,13,1,1
88,7,24,7,1
573,5,27,4,1
173,2,3,0,0
553,3,9,10,1
172,3,1,1,0
265,4,2,0,0
130,7,2,6,1
112,1,0,6,0
237,8,10,3,1
157,2,16,10,1
59,1,0,1,0
824,1,0,8,1
145,2,7,2,0
363,1,1,2,0
185,1,0,7,1
100,2,1,2,0
496,2,2,2,0
818,6,7,0,1
37,1,9,1,0
93,1,3,0,0
505,5,7,10,1
106,1,0,2,0
736,2,25,5,1
714,10,19,3,1
100,1,1,1,0
275,2,2,2,0
55,2,3,2,0
217,1,22,4,1
153,5,2,6,1
164,3,0,2,0
257,2,1,0,0
113,10,9,6,1
526,8,23,9,1
229,1,0,6,0
112,3,12,3,1
623,9,5,3,1
820,10,5,9,1
156,1,9,1,0
784,4,27,3,1
144,6,8,4,1
144,1,4,0,0
521,7,25,2,1
193,2,0,0,0
399,5,23,5,1
596,7,5,8,1
241,2,5,4,1
149,2,0,0,0
222,2,0,2,0
164,10,12,9,1
768,5,18,3,1
174,4,14,8,1
394,8,25,8,1
280,2,2,2,0
579,3,9,7,1
396,8,24,2,1
210,4,0,1,0
46,1,3,6,0
536,9,5,10,1
161,3,26,8,1
560,5,0,4,1
216,0,8,2,0
781,10,3,0,1
938,5,30,7,1
282,1,1,1,0
30,1,2,2,0
313,1,2,1,0
246,1,7,0,0
277,2,1,2,0
22,2,0,2,0
859,8,15,0,1
401,0,1,0,0
57,1,2,4,0
49,0,8,1,0
596,9,29,7,1
269,2,1,0,0
232,6,29,9,1
241,1,5,1,0
291,1,1,2,0
192,1,0,2,0
219,0,2,1,0
100,1,0,0,0
204,1,1,0,0
124,9,7,6,1
155,1,1,0,0
94,1,2,0,0
177,4,22,2,1
199,7,5,4,1
741,3,13,10,1
218,2,2,0,0
296,3,17,0,1
158,2,1,2,0
172,4,18,7,1
203,2,3,1,0
331,3,8,10,1
963,5,24,1,1
37,0,2,0,0
239,2,1,4,0
440,4,4,2,0
96,7,5,10,1
853,2,25,1,1
426,1,0,0,0
888,2,8,5,1
76,4,0,2,0
240,0,2,1,0
193,6,5,2,1
93,1,0,2,0
85,2,0,2,0
638,2,13,10,1
427,3,3,0,0
609,6,5,2,1
145,3,26,3,1
391,4,22,4,1
234,4,29,5,1
226,2,0,1,0
548,5,2,10,1
967,9,19,9,1
626,7,4,4,1
83,4,2,0,0
529,3,0,8,1
198,4,27,10,1
78,2,3,2,0
415,5,3,1,0
997,6,6,7,1
199,10,15,4,1
207,4,3,0,0
78,2,0,2,0
85,9,0,7,1
125,4,6,10,1
764,6,14,10,1
385,3,25,8,1
233,0,3,2,0
233,4,8,2,0
132,6,14,7,1
256,2,8,10,1
459,2,7,8,1
130,0,4,2,0
531,0,6,3,1
678,3,22,3,1
74,0,2,0,0
54,2,0,0,0
74,1,3,0,0
68,1,1,6,0
64,0,0,2,0
176,3,12,3,1
166,0,9,0,0
207,0,8,1,0
232,2,4,2,0
78,3,3,9,1
91,0,3,0,0
328,10,30,10,1
197,0,0,1,0
165,1,10,1,0
162,0,0,0,0
216,2,3,2,0
615,2,14,4,1
416,2,0,4,0
622,7,9,1,1
119,0,3,1,0
474,7,27,5,1
92,1,1,1,0
948,5,26,1,1
109,1,2,2,0
100,3,21,1,1
866,7,5,8,1
56,2,2,1,0
345,2,1,1,0
495,10,30,10,1
290,0,0,2,0
108,1,3,2,0
715,8,14,7,1
137,2,2,2,0
230,2,1,1,0
240,1,1,1,0
965,10,10,8,1
615,9,7,6,1
176,0,3,0,0
231,1,2,6,0
174,4,7,2,0
88,5,3,5,0
43,0,5,1,0
142,0,0,2,0
228,1,1,1,0
207,0,0,2,0
363,0,2,0,0
177,2,2,1,0
158,0,11,6,1
131,2,27,10,1
290,0,1,1,0
292,2,2,2,0
273,4,6,8,1
484,9,7,10,1
86,2,3,1,0
270,2,5,2,1
36,3,0,2,0
266,1,3,0,0
895,5,21,4,1
158,2,8,3,1
174,7,12,10,1
581,4,0,1,1
147,5,0,2,0
167,2,12,7,1
515,3,9,1,1
785,4,22,6,1
386,10,26,2,1
125,6,24,5,1
36,2,2,6,0
375,2,0,2,0
296,2,8,1,0
417,4,4,8,1
170,4,20,7,1
92,4,5,2,0
88,2,2,0,0
499,2,19,4,1
167,2,3,4,0
80,3,1,0,0
455,2,3,1,0
103,2,25,7,1
647,5,17,10,1
790,9,13,1,1
936,3,29,4,1
625,3,2,10,1
265,2,2,4,0
672,5,23,4,1
255,0,24,10,1
159,0,0,0,0
187,2,4,3,0
60,0,2,1,0
645,6,3,8,1
